ID;Category;Country;Priority Project Number;Priority Project Title;Amount (USD);Amount (AUD);Official Keywords;Indicative Priority Project Cost (USD);Extracted Keywords
373;   TERRESTRIAL ECOSYSTEMS  ;Guinea;11;Promoting adaptation-oriented technologies. 8. Promotion of wire fencing and hedge planting in Moyenne Guinea;;150;Forest Ecosystems;150000;adaptation,technology,fencing promotion wire,guinea moyenne
374;   TERRESTRIAL ECOSYSTEMS  ;Guinea;12;Promotion of fire management techniques and fencing;;300;Forest Ecosystems;300000;fencing,fire management promotion technique
74; FOOD SECURITY ;Guinea-Bissau;1;Support to Diversification of Production and Food Diet Project;;600;Agriculture;600000;support,production,diet food project
75; FOOD SECURITY ;Guinea-Bissau;12;Rehabilitation of Small Perimeters of Mangrove Soils for Rice Growing in Tombali, Quinara, Bafatá and Oio Project;;500;Agriculture
76; FOOD SECURITY ;Guinea-Bissau;13;Support to Production of Short-Cycle Animals Project;;400;Livestock;400000;support,animals cycle project
145;  COASTAL ZONES AND MARINE ECOSYSTEMS;Guinea-Bissau;4;Observatory for Mangrove Monitoring and Evaluation Project;;800;Coastal zones;800000;evaluation mangrove monitoring project,observatory
146;  COASTAL ZONES AND MARINE ECOSYSTEMS;Guinea-Bissau;5;Monitoring of Coastal Area Erosion;;400;Coastal zones;400000;monitoring,area coastal erosion
147;  COASTAL ZONES AND MARINE ECOSYSTEMS;Guinea-Bissau;9;Protection, Conservation and Enhancement of Fishing and Coastal Resources Project;;450;Coastal zones;450000;protection,conservation enhancement,coastal fishing project resources
192;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Guinea-Bissau;8;Prevention of Natural Catastrophes Project;;300;Disaster management;300000;prevention,catastrophes natural project
193;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Guinea-Bissau;10;Integrated System of Information on Food Security Project (SISA);;300;Early Warning System;300000;information,integrated system,sisa,food project security
235; EDUCATION/ CAPACITY BUILDING ;Guinea-Bissau;3;Capacity building in Prevention and Protection of Mangrove Bolanhas against High-Tide Invasion Project;;600;Capacity Building;600000;building capacity,invasion project tide,prevention protection,high,bolanhas mangrove
236; EDUCATION/ CAPACITY BUILDING ;Guinea-Bissau;6;Assessment of Impact of Climate Changes in Producers’ Sectors Project;;350;Capacity building;350000;change climate,impact,assessment,producers’ project sectors
237; EDUCATION/ CAPACITY BUILDING ;Guinea-Bissau;11;Environmental Education and Communication in Coastal Areas Project;;200;Education;200000;areas coastal project,communication education environmental
375;   TERRESTRIAL ECOSYSTEMS  ;Guinea-Bissau;14;Reforesting of Degraded Areas Project;;500;Forest Ecosystems
448;WATER RESOURCES  ;Guinea-Bissau;2;Improvement of Water Supply in Rural Zones;1,000,000;;Water supply
449;WATER RESOURCES  ;Guinea-Bissau;7;Promotion of Small-scale Irrigation in Geba and Corubal rivers Project;;800;Irrigation;800000;promotion,corubal geba project rivers,irrigation scale
9;CROSS-SECTORIAL;Haiti;11;Improved management of natural resources in Artibonite Province;;266,2;Food security, Land management, Local capacity building;266200;management,natural resource,artibonite province
149;  COASTAL ZONES AND MARINE ECOSYSTEMS;Haiti;7;Restoration and protection of coastal areas in West Province;2,775,960;;Coastal zones;2775960;area coastal,protection restoration,province west
150;  COASTAL ZONES AND MARINE ECOSYSTEMS;Haiti;8;Restoration and protection of coastal areas in South and Grand-Anse Provinces;2,123,500;;Coastal zones;2123500;area coastal,protection restoration,anse provinces,grand south
376;   TERRESTRIAL ECOSYSTEMS  ;Haiti;1;Watershed restoration, soil conservation and reforestation in South and Grand-Anse Provinces;1,656,250;;Land Rehabilitation and vegetation restoration;1656250;restoration watershed,conservation reforestation soil,anse provinces,grand south
378;   TERRESTRIAL ECOSYSTEMS  ;Haiti;3;Watershed restoration of River la Quinte (Ravine Durée) and Support to the agricultural production in Artibonite Province;1,938,548;;Land Rehabilitation and vegetation restoration
379;   TERRESTRIAL ECOSYSTEMS  ;Haiti;4;Flood mitigation and improvement of agricultural production through the rehabilitation of watersheds in Northwest and Northeast Provinces.;3,564,479;;Agroforestry and Land Rehabilitation
380;   TERRESTRIAL ECOSYSTEMS  ;Haiti;5;Watershed restoration, soil conservation and reforestation in Southeast Province;2,813,060;;Land Rehabilitation and vegetation restoration;2813060;restoration watershed,conservation reforestation soil,province southeast
381;   TERRESTRIAL ECOSYSTEMS  ;Haiti;9;Reforestation, preservation and protection of fruit and forest species in Southeast Province.;;892,65;Forest ecosystems
382;   TERRESTRIAL ECOSYSTEMS  ;Haiti;10;Restoration and protection of natural sites in Northeast Province;2,785,000;;Natural sites;2785000;protection restoration,natural site,northeast province
450;WATER RESOURCES  ;Haiti;13;Construction of reservoirs at household and community levels in Grand-Anse Province;;828,955;Reservoir;828955;construction,household reservoir,community level,anse province,grand
77; FOOD SECURITY ;Haiti;12;Support to the enhancement of agricultural production capacity in Jean Rabel;;417,353;Agriculture;417353;support,agricultural capacity production,enhancement,jean rabel
148;  COASTAL ZONES AND MARINE ECOSYSTEMS;Haiti;6;Restoration and protection of coastal areas in Northwest and Northeast Provinces;3,004,466;;Coastal zones;3004466;area coastal,protection restoration,northeast northwest provinces
377;   TERRESTRIAL ECOSYSTEMS  ;Haiti;2;Watershed restoration of River Grise in West Province;1,176,470;;Land Rehabilitation and vegetation restoration;1176470;restoration watershed,province west,grise river
451;WATER RESOURCES  ;Haiti;14;Rehabilitation of twenty five (25) water supply infrastructures in four (4) Farwest Districts;;220,932;Water supply
10;CROSS-SECTORIAL;Kiribati;4;Project Management Institutional Strengthening for NAPA;;320,44;Mainstreaming
11;CROSS-SECTORIAL;Kiribati;9;Enabling Kiribati effective participation at regional and international forums on climate change;;106;International representation and institutional capacity building
78; FOOD SECURITY ;Kiribati;6;Agricultural food crops development;;1,555,230;Agriculture
151;  COASTAL ZONES AND MARINE ECOSYSTEMS;Kiribati;2;Coastal zone management and resilience enhancement for adaptation;;1,937,280;Coastal Zones and Public Awareness
152;  COASTAL ZONES AND MARINE ECOSYSTEMS;Kiribati;7;Coral Reef Restoration, monitoring and stock enhancement;;586,75;Coastal zones
153;  COASTAL ZONES AND MARINE ECOSYSTEMS;Kiribati;8;Upgrading, restoring, enhancing resilience of coastal defenses and causeways.;;5,670,750;Coastal zones
194;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Kiribati;5;Upgrading of meteorological services;;492,31;Meteorological services
238; EDUCATION/ CAPACITY BUILDING ;Kiribati;3;Strengthening Environmental, Climate Change Information and Monitoring;;317,41;Institutional Capacity Building
452;WATER RESOURCES  ;Kiribati;1;Water Resource Adaptation Project;;3,168,405;Water adaptation;2834138;adaptation project resource water
453;WATER RESOURCES  ;Kiribati;1;Simple well improvement;;336,470 Wells;
79; FOOD SECURITY ;Lao PDR;2;Promote secondary professions in order to improve the livelihoods of farmers affected by natural disasters induced by climate change;;820;AgricultureCapacity building
80; FOOD SECURITY ;Lao PDR;3;Continue the slash and burn eradication program and permanent job creation program;12,600,000;;AgricultureCapacity building Land management;12600000;creation eradication job permanent program
195;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Lao PDR;7;Establish an early warning system for flood prone areas and improve and expand meteorology and hydrological networks and weather monitoring systems;2,200,000;;Early warning Disaster management
239; EDUCATION/ CAPACITY BUILDING ;Lao PDR;1;Strengthen the capacity of the national disaster management committees;1,000,000;;AgricultureCapacity building Disaster management
240; EDUCATION/ CAPACITY BUILDING ;Lao PDR;5;Awareness raising on water and water resource management;100;;Awareness raisingWater resources;100000;awareness,water,management resource water
241; EDUCATION/ CAPACITY BUILDING ;Lao PDR;8;Strengthen institutional and human resource capacities related to water and water resource management;;200;Education and capacity building Water resources;200000;management resource water,capacity human resource
242; EDUCATION/ CAPACITY BUILDING ;Lao PDR;12;Improve knowledge and skills of engineers who design and build water and sanitation systems;;300;Capacity buildingWater resources
383;   TERRESTRIAL ECOSYSTEMS  ;Lao PDR;4;Strengthen capacity of village forestry volunteers in forest planting, caring and management techniques as well as the use of village forests;;900;Forrest management Capacity building;900000;use,forest,forest village,management technique,capacity forestry village volunteer
454;WATER RESOURCES  ;Lao PDR;6;Mapping of flood prone areas;;650;Water management
455;WATER RESOURCES  ;Lao PDR;9;Survey underground water sources in drought prone areas;2,100,000;;Water management;2350000;area prone,source survey underground water
456;WATER RESOURCES  ;Lao PDR;10;Study, design and build multi-use reservoirs in drought prone areas;2,350,000;;Water resources;2350000;area prone,design,multus,study,reservoir use
457;WATER RESOURCES  ;Lao PDR;11;Improve systems for the sustainable use of drinking water and sanitation with community participation in flood and drought prone areas;;440;Water management;440000;area prone,drinking water,sanitation,community flood participation,sustainable use
12;CROSS-SECTORIAL;Lesotho;3;Capacity Building and Policy Reform to Integrate Climate Change in Sectoral Development Plans;1,260,000;;Mainstreaming and Capacity Building
81; FOOD SECURITY ;Lesotho;1;Improve Resilience of Livestock Production Systems Under Extreme Climatic Conditions in Various Livelihood Zones in Lesotho;2,980,000;;Livestock
82; FOOD SECURITY ;Lesotho;2;Promoting Sustainable Crop Based Livelihood Systems in Foothills, Lowlands and Senqu River Valley;4,235,000;;Agriculture
83; FOOD SECURITY ;Lesotho;8;Improvement of Community Food Security Through the Promotion of Food Processing and Preservation Technologies;;620;Food processing
196;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Lesotho;4;Improvement of an early warning system against Climate induced disasters and hazards;;920;Early warning system
266; ENERGY ;Lesotho;10;Promote Wind, Solar and Biogas Energy Use as a Supplement to Hydropower Energy;;NA;Renewable energy
384;   TERRESTRIAL ECOSYSTEMS  ;Lesotho;6;Management and Reclamation of Degraded and Eroded Land in the Flood Prone Areas (Pilot Project for Western Lowlands);;966;Land Rehabilitation and Management
385;   TERRESTRIAL ECOSYSTEMS  ;Lesotho;7;Conservation and Rehabilitation of Degraded Wetlands in the Mountain Areas of Lesotho;;690;Wetland rehabilitation
423; TOURISM ;Lesotho;9;Strengthening and stabilizing ecotourism based rural livelihoods;;NA;Ecotourism
458;WATER RESOURCES  ;Lesotho;5;Securing Village Water Supply for Communities in the Southern Lowlands;1,170,000;;Water supply
84; FOOD SECURITY ;Liberia;1;Integrated Cropping/LivestockFarming: Enhancing resilience to increasing rainfall variability through the diversification of crop cultivation and small ruminants rearing;5,000,000;;Agriculture and Livestock
154;  COASTAL ZONES AND MARINE ECOSYSTEMS;Liberia;3;Coastal Defense System for the Cities of Buchanan and Monrovia: Reducing the vulnerability of coastal urban areas (Monrovia, Buchanan) to erosion, floods, siltation and degraded landscapes;60,000,000;;Coastal zone management;60000000;buchanan monrovia,coastal defense system,cities,buchanan,area coastal urban
197;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Liberia;2;Improved monitoring of climate change: enhance adaptive capacity through the rebuilding of the national hydro-meteorological monitoring system and improved networking for the measurement of climatic parameters;3,000,000;;Forecasting system
85; FOOD SECURITY ;Madagascar;3;Support to the intensification of crop and livestock production (through material acquisition, input distribution and development of income generating activities in different sectors at regional level).    Support to the promotion of the bovine vaccination campaign;;270;Agriculture and Livestock
155;  COASTAL ZONES AND MARINE ECOSYSTEMS;Madagascar;7;Rehabilitation of degraded coastal areas  (by deflation through reprofiling of the coastal ridge, installation of nets and trapping windbreaks, filao and mangrove plantation, and hard coastal defense structure);;32,5;Coastal zones
198;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Madagascar;5;Implementation of simple structure and/or capacity building plan for the decentralized Meteorological service;;113,62;Early warning system
286; HEALTH ;Madagascar;12;Promoting the use of communication systems to educate and raise awareness on health issues among the population;;135;Education andawareness raising on health
287; HEALTH ;Madagascar;13;Implementation of capacity building to strengthen the health system;;135;Capacity building for Health system
288; HEALTH ;Madagascar;14;Mobilization of resources necessary to prevent and control disease vectors;;150;Prevention and control of disease vectors
326; INFRASTRUCTURE  ;Madagascar;1;Rehabilitation and/or construction of protective dams and dykes;;250;Dams and Dykes;250000;construction rehabilitation,dyke,dam protective
327; INFRASTRUCTURE  ;Madagascar;6;Implementation of dams and dykes to control the gradual rise of sea level;;150;Dams and Dykes;150000;implementation,dam dyke,level sea,gradual rise
328; INFRASTRUCTURE  ;Madagascar;10;Implementation of communication infrastructure in areas of high potential production capacity to increase exchange and trade;1,999,980;;Communication Infrastructure;199980;area,exchange trade,communication implementation infrastructure,capacity high potential production
329; INFRASTRUCTURE  ;Madagascar;11;Promoting the use of information-, education- and communication-sharing systems to reach rural communities;;270;IEC Infrastructure;270000;systems,information,education,community rural,communication
330; INFRASTRUCTURE  ;Madagascar;15;Elaboration of, information-sharing and awareness raising on the design and construction principles about infrastructures adapted to climate change;;60;Infrastructure design and principles
386;   TERRESTRIAL ECOSYSTEMS  ;Madagascar;4;Implementation of erosion control measures through soil conservation techniques and dune stabilization;;135;Land Management;135000;conservation soil technique,control erosion implementation measure,dune stabilization
387;   TERRESTRIAL ECOSYSTEMS  ;Madagascar;8;Reforestation of rural areas with their specific reforestation plans based on locally appropriate species;;74,25;Forest ecosystems;74250;area rural,reforestation,plan reforestation specific,appropriate locally species
388;   TERRESTRIAL ECOSYSTEMS  ;Madagascar;9;Promoting the transfer of forest management to local communities (GELOSE, GCF);;94,98;Forest ecosystems;94980;community,forest management,gcf,gelose,transfer
459;WATER RESOURCES  ;Madagascar;2;Implementation and Mobilization of water management associations;;60;Water management;60000;association management water,implementation mobilization
86; FOOD SECURITY ;Malawi;1;Improving community resilience to climate change through the development of sustainable rural livelihoods;4,500,000;;Sustainable Livelihoods;4500000;change,development,community resilience,livelihood rural sustainable
87; FOOD SECURITY ;Malawi;3;Improving agricultural production under erratic rains and changing climatic conditions;3,000,000;;Agriculture;3000000;agricultural production,climatic condition,erratic rain
199;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Malawi;4;Improving Malawi’s preparedness to cope with droughts and floods;8,000,000;;Disaster management;8000000;drought flood,malawi’s preparedness
200;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Malawi;5;Improving climate monitoring to enhance Malawi’s early warning capability and decision making and sustainable utilization of Lake Malawi and lakeshore areas resources;5,430,000;;Early warning and climate monitoring;5430000;capability early malawi’s warning,climate monitoring,area lake lakeshore malawi resource,decision,sustainable utilization
389;   TERRESTRIAL ECOSYSTEMS  ;Malawi;2;Restoring forests in the Upper, Middle and Lower Shire Valleys catchments to reduce siltation and the associated water flow problems;2,000,000;;Forest ecosystems;2000000;forest,catchment lower middle shire valley,upper,flow problem water,siltation
13;CROSS-SECTORIAL;Maldives;1;Integration of Future Climate Change Scenarios in the Safer Island Strategy to Adapt Sea Level Rise and Extreme Weather Risks Associated with Climate Change;;248,82;Disaster management and capacity building;248820;change climate,integration,associated extreme level rise risks sea weather,change climate future scenario,island safer strategy
88; FOOD SECURITY ;Maldives;6;Increase the resilience of local food production through enhancing the capacity of farmers, local communities to address food security issues caused by climate change and climate variability;;825;Agriculture;825000;change climate,capacity,community local,farmer,climate variability
89; FOOD SECURITY ;Maldives;9;Investigating alternative live bait management, catch, culture and holding techniques in the Maldives to reduce vulnerability of the tuna fishery sector to the predicted climate change and variability;1,027,000;;Fisheries;1027000;culture,fishery sector tuna,alternative bait live management,maldives,change climate variability
156;  COASTAL ZONES AND MARINE ECOSYSTEMS;Maldives;2;Coastal Protection of Safer Islands to Reduce the Risk from Sea Induced Flooding and Predicted Sea Level Rise;3,055,000;;Coastal zones;3055000;risk,level rise sea,coastal protection,sea,islands safer
157;  COASTAL ZONES AND MARINE ECOSYSTEMS;Maldives;11;Increase resilience of coral reefs to reduce the vulnerability of islands, communities and reef dependant economic activities to predicted climate change;1,062,000;;Coastal zones;1062000;change climate,coral reef,island,activity dependant economic,community reef
289; HEALTH ;Maldives;7;Improve the health status of the population by the prevention and management of vector-borne diseases caused by changes in temperature and flooding due to extreme rainfall;;350;Prevention and control of vector-borne diseases;350000;management,disease,population,health status,change temperature
331; INFRASTRUCTURE  ;Maldives;4;Coastal Protection of Male' International Airport to Reduce the Risk from Sea Induced Flooding and Predicted Sea Level Rise;;900;Coastal Protection Infrastructure;900000;risk,level rise sea,coastal protection,sea,airport international male
332; INFRASTRUCTURE  ;Maldives;8;Improve resilience of Island communities to climate change and variability through sustainable building designs;1,970,000;;Building design;1970000;resilience,change variability,building design sustainable,community island
333; INFRASTRUCTURE  ;Maldives;10;Improve the design and construction of access infrastructure in Maldives to increase the resilience of access infrastructure and island beaches to climate change;3,800,000;;Improvement of design and construction;3800000;change,construction,design,beach island,access infrastructure
460;WATER RESOURCES  ;Maldives;3;Enhance adaptive capacity to manage climate change related risks to fresh water availability by appropriate technologies and improved storage facilities;9,300,000;;Fresh;9300000;change climate,adaptive capacity enhance,availability water,facility storage,appropriate technology
461;WATER RESOURCES  ;Maldives;5;Enhance adaptive capacity to manage climate change related risks to fresh water availability by appropriate wastewater treatment technologies;1,500,000;;Fresh;1500000;change climate,risk,adaptive capacity enhance,availability water,appropriate technology treatment wastewater
14;CROSS-SECTORIAL;Mali;6;Promoting the use of meteorological information to improve agricultural production and contribute to food security;2,000,000;;Meteorological information system, Technical support and Agriculture
90; FOOD SECURITY ;Mali;1;Agricultural extension of improved food crop varieties adapted to climate change;;300;Agriculture
91; FOOD SECURITY ;Mali;2;Agricultural extension of animal and plant species with the highest adaptation potential to climate change;;350;Agriculture and Livestock
92; FOOD SECURITY ;Mali;3;Promotion of income-generating activities and development of mutual;;350;Livelihood Diversification
93; FOOD SECURITY ;Mali;4;Rehabilitation of aquaculture sites in Mali;25,760,000;;Fisheries
94; FOOD SECURITY ;Mali;5;Promoting cereal stocks;;500;Agriculture
95; FOOD SECURITY ;Mali;15;Intensification of fodder crop;;500;Livestock
96; FOOD SECURITY ;Mali;17;Promotion of fodder stock for livestock;;220;Livestock
243; EDUCATION/ CAPACITY BUILDING ;Mali;12;Sensitization and organization of the population for the preservation of natural resources (elaboration of local conventions on reforestation and agroforestry);2,000,000;;Public awareness
244; EDUCATION/ CAPACITY BUILDING ;Mali;16;Elaboration of a technological package of training for the population with simple adaptation practices to climate change;;500;Public awareness and Education
267; ENERGY ;Mali;9;Energy promotion from Typha australis;2,000,000;;Energy promotion
268; ENERGY ;Mali;10;Contribution to barrier removal for the promotion of the use of solar energy  in Mali;1,500,000;;Solar energy
269; ENERGY ;Mali;18;Promotion of Jatropha oil;5,000,000;;Fuel production from biomass
290; HEALTH ;Mali;19;Implementation of an information system on climate change risk-related diseases;;500;Health-related information system
390;   TERRESTRIAL ECOSYSTEMS  ;Mali;7;Low land Improvement;2,000,000;;Land rehabilitation
391;   TERRESTRIAL ECOSYSTEMS  ;Mali;13;Management of brush fire in Mali;3,000,000;;Forest Ecosystems
392;   TERRESTRIAL ECOSYSTEMS  ;Mali;14;Intensification of soil conservation actions and composting;1,500,000;;Land Rehabilitation
462;WATER RESOURCES  ;Mali;8;Implementation of drilling equipped with solar- or wind-driven systems;1,500,000;;Drilling of water
463;WATER RESOURCES  ;Mali;11;Implementation of a runoff water harvesting system and restoration of water points (backwater, ponds and lakes);;280;Runoff water
15;CROSS-SECTORIAL;Mauritania;7;Reorganisation of the communities adversely affected by climate change;;600;Mainstreaming;600000;change climate,community,reorganisation
97; FOOD SECURITY ;Mauritania;6;Promotion of livestock mobility;;300;Livestock;300000;livestock mobility promotion
98; FOOD SECURITY ;Mauritania;8;Promotion and development of domestic poultry-farming;;300;Livestock;300000;development promotion,domestic poultry,farming
99; FOOD SECURITY ;Mauritania;9;Improvement of cultivation methods in pluvial zones;1,270,000;;Agriculture;1270000;pluvial zone,cultivation improvement method
100; FOOD SECURITY ;Mauritania;12;Genetic improvement of locale bovine breeds;;500;Livestock;500000;bovine breed,genetic improvement
101; FOOD SECURITY ;Mauritania;15;Introduction of new fodder species in the natural routes;;600;Livestock;600000;introduction,fodder new species,natural route
102; FOOD SECURITY ;Mauritania;18;Treatment of unrefined fodder and manufacture and use of multi-nutritional blocks;;300;Livestock;300000;use,multus,block nutritional,treatment,fodder
103; FOOD SECURITY ;Mauritania;20;Development of fodder crops;;600;Livestock;600000;crop development fodder
104; FOOD SECURITY ;Mauritania;22;Establishment of production unit for livestock fodder;;NA;Livestock;NA;fodder livestock,establishment production unit
158;  COASTAL ZONES AND MARINE ECOSYSTEMS;Mauritania;14;Protection of the diversity of the fish population and prevention of over-fishing with a view to sustainable development;1,337,000;;Marine ecosystems;1337000;development,prevention,fishing,diversity,fish population
159;  COASTAL ZONES AND MARINE ECOSYSTEMS;Mauritania;16;Protection and reinforcement of the dune bar;1,018,000;;Coastal zone management;1018000;bar dune,protection reinforcement
160;  COASTAL ZONES AND MARINE ECOSYSTEMS;Mauritania;24;The implementation of a safeguard plan for the town of Nouakchott and its infrastructures;2,091,000;;Coastal zonemanagement;2091000;implementation,town,plan safeguard,infrastructure nouakchott
245; EDUCATION/ CAPACITY BUILDING ;Mauritania;17;Training and informing of SPOs and CEs;1,180,000;;Education;1180000;training,ces spos
246; EDUCATION/ CAPACITY BUILDING ;Mauritania;28;Institutional reinforcement of the structure responsible for nature conservation;;400;Institutional Capacity Building;400000;institutional reinforcement,conservation nature,structure
393;   TERRESTRIAL ECOSYSTEMS  ;Mauritania;10;Substitution of ligneous fuel;;700;Forest ecosystem;700000;ligneou,substitution
394;   TERRESTRIAL ECOSYSTEMS  ;Mauritania;11;Participatory reforestation for energy and agro-forestry in agricultural zones;1,000,000;;Arid terrestrial ecosystem;1000000;agro,energy,participatory reforestation,agricultural zone,forestry
395;   TERRESTRIAL ECOSYSTEMS  ;Mauritania;19;Restoration and integrated management of the lowlands and wetlands;;NA;Land and wetland rehabilitation;NA;management,restoration,wetland,lowland
396;   TERRESTRIAL ECOSYSTEMS  ;Mauritania;25;Improvement of knowledge and sustainable management of the forest resources;;300;Forest ecosystems
397;   TERRESTRIAL ECOSYSTEMS  ;Mauritania;26;Fixation of shifting dunes threatening the country’s socio-economic infrastructures;1,500,000;;Arid terrestrial ecosystem;1500000;country,economic infrastructure,fixation,dune
464;WATER RESOURCES  ;Mauritania;1;Contribution to a better knowledge of the surface water regimes in twenty (20) catchment areas;;423,99;Surface water;423990;contribution,regime surface water,area catchment,better knowledge
465;WATER RESOURCES  ;Mauritania;2;Contribution to increased value of surface water by construction of twelve (12) flooding deceleration gates: pluvial zones (Guidimakha) and especially oasis zones (Adrar);;604,17;Surface water;604170;construction,contribution,deceleration gate,adrar,guidimakha
466;WATER RESOURCES  ;Mauritania;3;Promotion of water-saving techniques in oasis zones;1,200,000;;Water management;1200000;promotion water,oasis technique zone
467;WATER RESOURCES  ;Mauritania;4;Introduction of 50 electric Moto-Pumps in the valley;1,050,630;;Groundwater;1050630;introduction,50 electric moto,valley
468;WATER RESOURCES  ;Mauritania;5;Support to the dissemination of the drip technique in the river valley and the oasis zones for the development of 300 hectares;;433,99;Irrigation;433990;development,dissemination,oasis zone,300 hectare,drip technique
469;WATER RESOURCES  ;Mauritania;13;Improvement of the management of underground water in Aftout;;250;Underground water;250000;management,improvement,underground water,aftout
470;WATER RESOURCES  ;Mauritania;21;The study and  monitoring of water quality in Magta Lahjar, Tintane and Wompou;1,000,000;;Water quality
471;WATER RESOURCES  ;Mauritania;23;Support for the experimental use dissemination of the drip method in the oasis zones;;400;Irrigation;400000;support,oasis zone,drip method,dissemination experimental use
472;WATER RESOURCES  ;Mauritania;27;Support for better monitoring of the piezometric networks of the Aioun sandstones and of the Hodhs Pelites;;800;Water resources;800000;support,hodhs pelites,better monitoring,network piezometric,aioun sandstone
161;  COASTAL ZONES AND MARINE ECOSYSTEMS;Mozambique;3;Reduction of the impact of climate change in coastal zones;2,000,000;;Coastal zones;2000000;change climate,coastal zone,impact,reduction
201;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Mozambique;1;Strengthening of early warning system;2,700,000;;Early warning system;2700000;early system warning
247; EDUCATION/ CAPACITY BUILDING ;Mozambique;2;Strengthening of capacities of agricultural producers to deal with climate change;2,500,000;;Capacity Building;2500000;change climate,capacity,agricultural producer
473;WATER RESOURCES  ;Mozambique;4;Management of Water resources under the framework of climate change;2,000,000;;Water management;2000000;change climate,management,resource water,framework
16;CROSS-SECTORIAL;Nepal;1;Promoting community-based adaptation through integrated management of agriculture, water, forest and biodiversity;50,000,000;;Agriculture, Water, Forest and Biodiversity
105; FOOD SECURITY ;Nepal;2;Building and enhancing adaptive capacity of vulnerable communities through improved system and access to services related to agricultural development;44,000,000;;Agriculture;44000000;development,community vulnerable,adaptive capacity,building,access system
202;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Nepal;3;Community-based disaster management for facilitating climate adaptation;60,000,000;;Disaster management
203;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Nepal;4;GLOF monitoring and disaster risk reduction;55,000,000;;Disaster management;55000000;disaster glof monitoring reduction risk
248; EDUCATION/ CAPACITY BUILDING ;Nepal;9;Promoting climate smart urban settlement;30,000,000;;Public awareness;30000000;climate settlement smart urban
291; HEALTH ;Nepal;6;Adapting to climate challenges in public health;;15;Public health;15000000;challenge,health public
399;   TERRESTRIAL ECOSYSTEMS  ;Nepal;7;Ecosystem management for climate adaptation;31,000,000;;Ecosystem management;31000000;adaptation climate ecosystem management
474;WATER RESOURCES  ;Nepal;8;Empowering vulnerable communities through sustainable management of water resources and clean energy supply;40,000,000;;Water management;40000000;management sustainable,community vulnerable,resource water,clean energy supply
400;   TERRESTRIAL ECOSYSTEMS  ;Nepal;5;Forest and ecosystem management for supporting climate-led adaptation innovations;25,000,000;NA;Forestry ecosystem
106; FOOD SECURITY ;Niger;1;Introducing fodder crop species in pastoral areas;;NA;Livestock;NA;area pastoral,crop fodder species
107; FOOD SECURITY ;Niger;2;Creating Livestock Food Banks;;NA;Livestock;NA;banks food livestock
108; FOOD SECURITY ;Niger;3;Restoring basins for crop irrigation;;NA;Agriculture;NA;basin crop irrigation
109; FOOD SECURITY ;Niger;4;Diversifying and Intensifying crop irrigation;;NA;Agriculture;NA;crop irrigation
110; FOOD SECURITY ;Niger;5;Promoting peri-urban market gardening and livestock farming;;NA;Agriculture and Livestock;NA;peri,gardening market urban,farming livestock
111; FOOD SECURITY ;Niger;6;Promoting income-generating activities and developing mutual benefit societies;;NA;Livelihood Diversification;NA;activity,income,benefit mutual society
112; FOOD SECURITY ;Niger;9;Creating Food Banks;;NA;Agriculture;NA;banks food
113; FOOD SECURITY ;Niger;11;Disseminating animal and crop species that are most adapted to climatic conditions;;NA;Agriculture and Livestock
204;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Niger;8;Producing and disseminating meteorological data;;NA;Early warning system;NA;producing,datum meteorological
249; EDUCATION/ CAPACITY BUILDING ;Niger;14;Building of material, technical and organizational capacities of rural producers;;NA;Capacity building
292; HEALTH ;Niger;10;Contributing to fight against climate-related diseases;;NA;Climate-related diseases;NA;climate,disease
398;   TERRESTRIAL ECOSYSTEMS  ;Niger;11;Improving erosion control actions (CES/DRS) for agricultural, forestry and pastoral purposes;;NA;Land rehabilitation and agroforestry;NA;action control erosion,forestry pastoral purpose,ces
;   TERRESTRIAL ECOSYSTEMS  ;Niger;13;Watershed protection and rehabilitation of dump-off ponds;;NA;Land rehabilitation and protection
475;WATER RESOURCES  ;Niger;7;Exploitation of surface and ground water;;NA;Surface water;NA;ground water,exploitation surface
17;CROSS-SECTORIAL;Rwanda;2;Mastering hydro meteorological information and early warning systems to control extreme phenomena due to climate change: - Installation and rehabilitation of hydrological and meteorological stations;1,900,000;;Early Warning and Capacity Building
18;CROSS-SECTORIAL;Rwanda;4;Support Districts of vulnerable regions to climate change in planning and implementing measures and techniques related to land conservation, water harvesting and intensive agriculture, and promoting existing and new resistant varieties of crops adapted to different bioclimatic soil;;560;Agriculture, Water resources, Land rehabilitation and Capacity Building
