Id;Keyword_01;Keyword_02;Keyword_03;Keyword_04;Keyword_05;Tag_01;Tag_02;Tag_03;Tag_04;Tag_05;Tag_06;category;Checked keyword_01;Checked keyword_02;Checked keyword_03;Project;Focus;Financial Instrument;Country;Country Income Level;Region;Funder;Approved Year;Fund First Disbursed;Implementor;Approved;Disbursed
38;food security;improve adaptive capacity;building institutional capacity;;;;building food resilient security systems;;;;;food security;capacity building;;;Building Resilient Food Security Systems to Benefit the Southern Egypt Region - 1651;Adaptation;Grant;Egypt;Lower-middle-income economies;Middle East and North Africa;Adaptation Fund (AF);2012;;WFP;6.9;1.62
206;participatory development;public awareness;capacity building;policy development;;change climate;;adaptation national plan;in response;;;cross-sector ;capacity building;public awareness;;Preparation of National Adaptation Plan of Action (NAPA) in response to Climate Change in Equatorial Guinea - 1334;Adaptation;Grant;Equatorial Guinea;High-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;0.2;0
45;water;agriculture;;;;adaptation change climate program;;agriculture  water;;;;cross-sector ;agriculture;water management;;Climate Change Adaptation Programme In Water And Agriculture In Anseba Region, Eritrea - 1634;Adaptation;Grant;Eritrea;Low-income economies;Sub-Saharan Africa;Adaptation Fund (AF);2011;2011;UNDP;6.52;0.89
84;building capacity;mainstreaming into policy;policy development;;;action;;adaptation national program;development;;;cross-sector ;mainstreaming;policy development;policy adaptation ;Development of a National Adaptation Program of Action (NAPA) - 1224;Adaptation;Grant;Eritrea;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2003;;UNDP;0.2;0.2
79;drought;;;;; change climate drought;;;;;;terrestrial ecosystems;land management;water management;;Coping with Drought and ClimateChange - 1155;Adaptation;Grant;Ethiopia;Low-income economies;Sub-Saharan Africa;Special Climate Change Fund (SCCF);2007;;UNDP;1;1
188;development planning;policy development;adaptation mainstreaming;;;action;;adaptation national program;;;;cross-sector ;mainstreaming;;;National Adaptation Programme of Action (NAPA) - 1225;Adaptation;Grant;Ethiopia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2003;;UNDP;0.2;0.2
223;Autonomous Adaptation;;;;;ethiopia;adaptation autonomous;community level ;;;;education/capacity building;capacity building;public awareness;;Promoting Autonomous Adaptation at the community level in Ethiopia - 1226;Adaptation;Grant;Ethiopia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2010;;UNDP;5.31;5.31
255;Early Warning System;Climate resilience;;;; climate early inmation systems warning;climate development resilient support;;;;;early warning systems and disaster management;early warning system;disaster management;;Strengthening Climate Information and Early Warning Systems in Ethiopia to Support Climate Resilient Development - 1317;Adaptation;Grant;Ethiopia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;4.9;0
117;coastal defenses;enhancing adaptive capacities;coastal areas;;;change climate;resilience; area coastal communities vulnerable;;;;coastal zones;coastal zones;;;Enhancing Resilience of Vulnerable Coastal Areas and Communities to Climate Change in the Republic of Gambia - 1297;Adaptation;Grant;Gambia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;8.9;0
197;development planning;policy development;adaptation mainstreaming;;;action;adaptation national program;;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Programme of Action - 1227;Adaptation;Grant;Gambia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNEP;0.2;0.2
270;early warning systems;;;;;adaptation;;development resilient; climate early service system warning;climate ;;early warning systems and disaster management;early warning system;;;Strengthening climate services and early warning systems in the Gambia for climate resilient development and adaptation to climate change Ã¢Â€Â“ 2nd Phase of the GOTG/GEF/UNEP LDCF NAPA Early Warning Project - 1329;Adaptation;Grant;Gambia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNEP;8;0
271;early warning systems;;;;;change climate early systems warning;;;;;;early warning systems and disaster management;early warning system;;;Strengthening of The Gambiaï¿½s Climate Change Early Warning Systems - 1228;Adaptation;Grant;Gambia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNDP;0.93;0.93
82;flood;flood control;communities;;;communities vulnerable;; climate flash flood management practices resilient;;;;early warning systems and disaster management;early warning system;;;Developing Climate Resilient Flood and Flash Flood Management Practices to Protect Vulnerable Communities of Georgia - 1643;Adaptation;Grant;Georgia;Lower-middle-income economies;Europe and Central Asia;Adaptation Fund (AF);2012;2012;UNDP;5.32;1.04
113;water management;disaster risk reduction;soil erosion control;agricultural infrastructure;;resilience;;agricultural sector;;;;food security;agriculture;;;Enhancing Resilience of Agricultural Sector in Georgia (ERASIG) - 1192;Adaptation;Grant;Georgia;Lower-middle-income economies;Europe and Central Asia;Special Climate Change Fund (SCCF);2012;;IFAD;5.3;0
162;health risk management;;;;;change climate;health of priority risk;management ;;;;health;mainstreaming;public health;;Integrating Climate Change into the Management of Priority Health Risks - 1157;Adaptation;Grant;Ghana;Lower-middle-income economies;Sub-Saharan Africa;Special Climate Change Fund (SCCF);2009;;UNDP;1.72;1.72
228;agriculture;;;;;agriculture;approach chain value;;;;;food security;agriculture;;;Promoting Value Chain Approach to Adaptation in Agriculture - 1156;Adaptation;Grant;Ghana;Lower-middle-income economies;Sub-Saharan Africa;Special Climate Change Fund (SCCF);2011;;IFAD;2.5;2.5
20;enhance;organization;plans;;;adaptation national plan;;countries;country;;;education/capacity building;capacity building;institutional capacity building;;Assisting Least Developed Countries (LDCs) with country-driven processes to advance National Adaptation Plans (NAPS) - 1363;Adaptation;Grant;Global;Unknown;Global;Least Developed Countries Fund (LDCF);2013;;UNEP;2;0
91;economy;organization;;;;support;adaptation analysis economic of options;decision;;;;cross-sector ;capacity building;policy development;;Economic Analysis of Adaptation Options in Support of Decision Making - 1158;Adaptation;Grant;Global;Unknown;Global;Special Climate Change Fund (SCCF);2008;;UNEP;1;1
109;capacity building;;;;;climate resilience;capacity; knowledge support technology;countries developing vulnerable;;;education/capacity building;capacity building;;;Enhancing Capacity, Knowledge and Technology Support to Build Climate Resilience of Vulnerable Developing Countries - 1189;Adaptation;Grant;Global;Unknown;Global;Special Climate Change Fund (SCCF);2012;;UNEP;4.9;4.9
202;health;;;;;adaptation change climate;health human;;;;;health;prevention;;;Piloting Climate Change Adaptation to Protect Human Health - 1159;Adaptation;Grant;Global;Unknown;Global;Special Climate Change Fund (SCCF);2009;;UNDP;4.5;4.5
289;technical assistance;;;;;;assistance technical;;;;;cross-sector ;technical support;;;Technical Assistance to Francophone LDCs to Implement the UNFCCC8/CP8 Decision - 1229;Adaptation;Grant;Global;Unknown;Global;Least Developed Countries Fund (LDCF);2004;;UNDP;0.21;0.21
290;technical assistance;;;;;;countries;assistance technical;;;;cross-sector ;technical support;;;Technical Assistance to Least Developed Countries (LDCs) to Implement the UNFCCC8/CP8 Decision - 1230;Adaptation;Grant;Global;Unknown;Global;Least Developed Countries Fund (LDCF);2003;;UNDP;0.63;0.63
291;needs assessment;;;;;assessment need technology;;;;;;education/capacity building;capacity building;;;Technology Needs Assessments - 1160;Adaptation;Grant;Global;Unknown;Global;Special Climate Change Fund (SCCF);2009;;UNEP;8.18;8.18
89;disasters;risk reduction;;;; climate disaster project reduction risk vulnerability;;;;;;early warning systems and disaster management;disaster management;;;Disaster vulnerability and climate risk reduction project - 245;Adaptation;Concessional Loan;Grenada;Upper-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2011;;IBRD;16.199.999;0.58
90;disasters;risk reduction;;;;grant preparation project; climate disaster project reduction risk vulnerability;;;;;early warning systems and disaster management;disaster management;;;Disaster vulnerability and climate risk reduction project - Project Preparation Grant - 282;Unknown;Grant;Grenada;Upper-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2011;;IBRD;0;0
299;planning activities;pilot programme;;;;climate resilience;;funding phase;design;national program strategic;;cross-sector ;mainstreaming;Capacity building ;policy implementation;design of national Strategic Programs for Climate Resilience (SPCR) (phase 1 funding) - 165;Adaptation;Grant;Grenada;Upper-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2010;;;0.27;0.27
66;institutional capacity strengthening;ecosystem management;mainstreaming into policy;increasing capacity of community based organisations ;;economic network;socio;change climate lscape production resilient;;;;education/capacity building;mainstreaming;local capacity building;ecosystem management;Climate change resilient production landscapes and socio-economic networks advanced in Guatemala - 1658;Adaptation;Grant;Guatemala;Lower-middle-income economies;Latin America and the Caribbean;Adaptation Fund (AF);2013;;UNDP;5.43;0
94;ecosystem;;ecosystem management;;;adaptation;communities vulnerable;ecosystem;guinea region  upper;;;terrestrial ecosystems;land management;ecosystem management;public awareness;Ecosystem-Based Adaptation Targeting Vulnerable Communities of the Upper Guinea Region - 1356;Adaptation;Grant;Guinea;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2013;;UNDP;8;0
144;coastal area managment;;;;;change climate;impact;adaptation  resilience;coastal vulnerable zone;;;coastal zones;coastal zone management;;;Increased Resilience and Adaptation to Adverse Impacts of Climate Change in Guinea's Vulnerable Coastal Zones - 1231;Adaptation;Grant;Guinea;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNDP;2.97;2.97
178;development planning;policy development;adaptation mainstreaming;;;action;adaptation national plan;;;;;cross-sector ;mainstreaming;;;National Adaptation Plan of Action - 1232;Adaptation;Grant;Guinea;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
266;farmers communities;livelihoods;;;;change climate;grant preparation project;communities farmers livelihoods resilience;;;;food security;livelihood diversification;;;Strengthening Farmers Communities Livelihoods Resilience Against Climate Changes in the Guinean Prefectures of Gaoual, Koundara and Mali (Project Preparation Grant) - 1296;Adaptation;Grant;Guinea;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2011;;UNDP;3.72;0
132;policy development;mainstreaming into policy;;;;;action adaptation national plan ;;;;;cross-sector ;mainstreaming;policy development;;Formulation of the National Adaptation Action Plan - 1233;Adaptation;Grant;Guinea-Bissau;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
268;capacity building;knowledge management;;;;change climate;adaptive  capacity resilience;;;sector water;;education/capacity building;water resources;agriculture;;Strengthening Resilience and Adaptive Capacity to Climate Change in Guinea-Bissauï¿½s Agrarian and Water Sectors - 1234;Adaptation;Grant;Guinea-Bissau;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2010;;UNEP;4;4
76;flood control;;;;;adaptation conservancy project;;;;;;terrestrial ecosystems;terrestrial biodiversity conservation;;;Conservancy Adaptation Project - 1161;Adaptation;Grant;Guyana;Lower-middle-income economies;Latin America and the Caribbean;Special Climate Change Fund (SCCF);2007;;World Bank;3.8;3.8
100;capacity building;policy development;;;;action;;adaptation national plan;activities;preparation ;;cross-sector ;policy development;;;Enabling Activities to Facilitate the Preparation of a National Adaptation Plan of Action (NAPA) - 1235;Adaptation;Grant;Haiti;Low-income economies;Latin America and the Caribbean;Least Developed Countries Fund (LDCF);2003;;UNDP;0.2;0.2
251;Adaptation Capacity;Sustainable Development Strategies;Costal Communities;;;adaptive capacity;coastal communities;;development strategy sustainable;address change climate threat;;education/capacity building;coastal zone management;sustainable livelihoods;;Strengthening Adaptive Capacities to Address Climate Change Threats on Sustainable Development Strategies for Coastal Communities in Haiti - 1236;Adaptation;Grant;Haiti;Low-income economies;Latin America and the Caribbean;Least Developed Countries Fund (LDCF);2009;;UNDP;3.5;3.5
262;Climate resilience;Disaster Risk;Agricolture;Food Secuity;;climate resilience;food security;disaster risk;agriculture;earthquake;;food security;agriculture;disaster management;;Strengthening Climate Resilience and Reducing Disaster Risk in Agriculture to Improve Food Security in Haiti Post-Earthquake - 1237;Adaptation;Grant;Haiti;Low-income economies;Latin America and the Caribbean;Least Developed Countries Fund (LDCF);2011;;FAO;2.73;2.73
300;planning activities;pilot programme;;;;climate resilience;;funding phase;design;national program strategic;;cross-sector ;Mainstreaming and  policy  implementation;Capacity building ;;design of national Strategic Programs for Climate Resilience (SPCR) (phase 1 funding) - 167;Adaptation;Grant;Haiti;Low-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2011;;;0.45;0.14
16;water;water resources;urban poor;urban;;change climate risk;poor  urban;reduced vulnerability;;resilience systemic;;water resources;water management;;;Addressing Climate Change Risks on Water Resources in Honduras: Increased Systemic Resilience and Reduced Vulnerability of the Urban Poor - 1629;Adaptation;Grant;Honduras;Lower-middle-income economies;Latin America and the Caribbean;Adaptation Fund (AF);2010;2011;UNDP;5.62;2.96
75;rural development;;;;;; competitiveness development project rural sustainable;norrn  zone;horizons norrn;;;food security;livelihood diversification;sustainable livelihoods;;Competitiveness and Sustainable Rural Development Project in the Northern Zone (Northern Horizons-GEF) - 1182;Adaptation;Grant;Honduras;Lower-middle-income economies;Latin America and the Caribbean;Special Climate Change Fund (SCCF);2011;;IFAD;3;0
60;coast;coastal protection;management;;; climate coastal management protection resilient;;;;;;coastal zones;coastal ecosystem;coastal zone management;restoration and protection of coastal ecosystem;Climate Resilient Coastal Protection and Management - 1183;Adaptation;Grant;India;Lower-middle-income economies;Asia and Pacific;Special Climate Change Fund (SCCF);2011;;ADB;1.82;0
152;community based adaptation;development planning;enhancing adaptive capacities;;;change climate;;;adaptation  livelihoods sustainable;;;education/capacity building;sustainable livelihoods;policy development;public awareness;India: Sustainable Livelihoods and Adaptation to Climate Change (SLACC) - 1186;Adaptation;Grant;India;Lower-middle-income economies;Asia and Pacific;Special Climate Change Fund (SCCF);2012;;IBRD;8;0
249;Climate resilience;Rural Communities;;;;climate resilience;communities rural;nusa province tenggara timor;action  planning strategic;;;cross-sector ;capacity building;policy implementation;livelihood diversification;Strategic Planning and Action to Strengthen Climate Resilience of Rural Communities in Nusa Tenggara Timor province (SPARC) - 1162;Adaptation;Grant;Indonesia;Lower-middle-income economies;Asia and Pacific;Special Climate Change Fund (SCCF);2011;;UNDP;5;0
126;agriculture;coastal management;food security;water management;flood control;resilience ;food security;agriculture sector ;area coastal;livelihoods;;food security;agriculture;coastal zone management;sustainable livelihoods;Enhancing the Resilience of the Agriculture Sector and Coastal Areas to Protect Livelihoods and Improve Food Security - 1636;Adaptation;Grant;Jamaica;Upper-middle-income economies;Latin America and the Caribbean;Adaptation Fund (AF);2011;2011;PIOJ;9.96;3.45
170;capacity building;policy development;;;; basin management planning river;adaptationstrategies integrated;adaptation  change climate inlocal mainstreaming national plan sectoral;;;;cross-sector ;mainstreaming;river basin;;Mainstreaming Climate Change Adaptation inLocal Sectoral and National Plans, and Implementing Integrated AdaptationStrategies in targeted River Basin Planning and Management (IDB) - 235;Adaptation;Grant;Jamaica;Upper-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2012;;IDB;0;0
301;planning activities;pilot programme;;;;climate resilience;;funding phase;design;national program strategic;;cross-sector ;mainstreaming;Capacity building ;policy implementation;design of national Strategic Programs for Climate Resilience (SPCR) (phase 1 funding) - 168;Adaptation;Grant;Jamaica;Upper-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2010;;;0.51;0.51
288;water management;irrigation;;;;change climate impact;;irrigation pilot project technology;;pilot;;water resources;irrigation;;;TT-Pilot (GEF-4) DHRS: Irrigation Technology Pilot Project to face Climate Change Impact - 1163;Adaptation;Grant;Jordan;Upper-middle-income economies;Middle East and North Africa;Special Climate Change Fund (SCCF);2010;;IFAD;2;2
5;arid lands;arid;drought control;;;change climate;adaptation;arid;;;;terrestrial ecosystems;land management;;;Adaptation to Climate Change in Arid Lands (KACCAL) - 1164;Adaptation;Grant;Kenya;Low-income economies;Sub-Saharan Africa;Special Climate Change Fund (SCCF);2007;;World Bank;6.5;6.5
112;food security;development planning;;;;context ;change climate global;food national security;;;;food security;policy development;;;Enhancing National Food Security in the Context of Global Climate Change - 1357;Adaptation;Grant;Kiribati;Lower-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2013;;UNDP;4.45;0
150;enhancing adaptive capacities;water management;coastal area management;governance;;resilience; climate hazard variability;;;;;cross-sector ;water management;coastal zone management;;Increasing Resilience to Climate Variability and Hazards - 1238;Adaptation;Grant;Kiribati;Lower-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2010;;UNDP;3;3
189;development planning;policy development;adaptation mainstreaming;;;action;;adaptation national program;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Programme of Action (NAPA) - 1239;Adaptation;Grant;Kiribati;Lower-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2004;;IBRD;0.2;0.2
225;Climate Resilience;Water Suppy;;;;climate resilience;supply water;;;;;water resources;water supply;water quality;;Promoting Climate Resiliency of Water Supplies in Kyrgyzstan - 1191;Adaptation;Grant;Kyrgyzstan;Low-income economies;Europe and Central Asia;Special Climate Change Fund (SCCF);2012;;EBRD;5;0
95;rural communities;governance;rural infrastructure;;;changing climate;effective governance;rural scale small;infrastructure;;;infrastructure;disaster management;;;Effective Governance for Small Scale Rural Infrastructure and Disaster Preparedness in a Changing Climate - 1291;Adaptation;Grant;Lao PDR;Lower-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2011;;UNDP;4.7;0
143;agriculture;;;;;resilience ;agriculture sector ;change climate impact;;;;food security;agriculture;;;Improving the Resilience of the Agriculture Sector in Lao PDR to Climate Change Impacts - 1240;Adaptation;Grant;Lao PDR;Lower-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2010;;UNDP;4.45;4.45
183;development planning;policy development;adaptation mainstreaming;;;action;adaptation national program;;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Program of Action - 1241;Adaptation;Grant;Lao PDR;Lower-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
65;agriculture;rural communities;;;;adaptive capacity;agrical;agriculture climate smart;communities rural ;;;education/capacity building;agriculture;sustainable livelihoods;;Climate Smart Agriculture: Enhancing Adaptive Capacity of the Rural Communities in Lebanon (AgriCAL) - 1649;Adaptation;Grant;Lebanon;Upper-middle-income economies;Middle East and North Africa;Adaptation Fund (AF);2012;;IFAD;7.86;1.59
285;agriculture;livelihoods;;;;area marginal;agricultural livelihoods sustainable;;;;;food security;sustainable livelihoods;;;Sustainable Agricultural Livelihoods in Marginal Areas (SALMA) - 1193;Adaptation;Grant;Lebanon;Upper-middle-income economies;Middle East and North Africa;Special Climate Change Fund (SCCF);2012;;;7.15;0
3;agriculture;small scale agriculture;production;small scale;;adaptation;agriculture production scale;;;;;food security;agriculture;;;Adaptation of Small-scale Agriculture Production (ASAP) - 1299;Adaptation;Grant;Lesotho;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2011;;IFAD;4.33;0
140;early warning systems;monitoring;adaptation planning;;;change climate;impact;improvement; building capacity change climate;development plan;;early warning systems and disaster management;capacity building;early warning systems;mainstreaming;Improvement of Early Warning System to Reduce Impacts of Climate Change and Capacity Building to Integrate Climate Change into Development Plans - 1242;Adaptation;Grant;Lesotho;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNEP;1.6;1.6
190;development planning;policy development;adaptation mainstreaming;;;action;;adaptation national program;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Programme of Action (NAPA) - 1243;Adaptation;Grant;Lesotho;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2003;;UNEP;0.19;0.19
235;Reducing vulnerability;;;;;change climate;vulnerability; basin lower lowl river senqu ;foothills ;;;education/capacity building;river basin;livelihood diversification;agriculture;Reducing Vulnerability from Climate Change in the Foothills, Lowlands and the Lower Senqu River Basin - 1358;Adaptation;Grant;Lesotho;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2013;;UNDP;8.4;0
252;Adaptation Capacity; Watershed Management;;;;capacity;support;adaptation change climate;;integrated management program watershed;;water resources;water management;land management;livelihood diversification;Strengthening Capacity for Climate Change Adaptation through Support to Integrated Watershed Management Programme in Lesotho - 1353;Adaptation;Grant;Lesotho;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2013;;FAO;3.59;0
118;enhancing adaptive capacities;coastal areas;knowledge management;;;resilience;change climate risk;area coastal vulnerable;;;;coastal zones;coastal zones; capacity building;;Enhancing Resilience of Vulnerable Coastal Areas to Climate Change Risks - 1244;Adaptation;Grant;Liberia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNDP;2.9;2.9
119;enhancing adaptive capacities;agriculture;;;;change climate;resilience;;agricultural development sector;adaptation concern mainstreaming;;cross-sector ;mainstreaming;;;Enhancing Resilience to Climate Change by Mainstreaming Adaptation Concerns into Agricultural Sector Development in Liberia - 1246;Adaptation;Grant;Liberia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2011;;UNDP;2.38;2.38
210;policy development;;;;;action;napa;adaptation national plan;preparation;;;cross-sector ;policy development;;;Preparation of a National Adaptation Plan of Action (NAPA) - 1245;Adaptation;Grant;Liberia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNEP;0.2;0.2
267;information;organization;;;;change climate;; climate inmation services;adaptation  climate development enhance resilient;;;early warning systems and disaster management;weather/climate information;;;Strengthening Liberia's Capability to Provide Climate Information and Services to Enhance Climate Resilient Development and Adaptation to Climate Change. - 1304;Adaptation;Grant;Liberia;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;6.73;0
13;coast;coastal zones;ecosystem ;livelihood;management;change climate;;coastal management zone; ecosystem improvement livelihood;;;coastal zones;coastal zone management;coastal ecosystems;;Adapting Coastal Zone Management to Climate Change in Madagascar Considering Ecosystem and Livelihood Improvement - 1308;Adaptation;Grant;Madagascar;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNEP;5.34;0
102;agriculture;water management;health interventions;;;climate resilience;agriculture sector ;;;;;cross-sector ;agriculture;water management;health;Enabling Climate Resilience in the Agriculture Sector in the Southwest Region of Madagascar - 1359;Adaptation;Grant;Madagascar;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2013;;AFDB;6.27;0
209;capacity building;needs assessment;policy development;;;change climate;preparation;action national program;;;;cross-sector ;mainstreaming;policy development;;Preparation of a National Action Program to Adapt to Climate Changes - 1247;Adaptation;Grant;Madagascar;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;IBRD;0.2;0.2
224;agriculture;Rice;Climate Resilience;;;climate resilience;rice sector ;investments pilot through;;;;food security;agriculture;;;Promoting Climate Resilience in the Rice Sector through Pilot Investments in Alaotra-Mangoro Region - 1644;Adaptation;Grant;Madagascar;Low-income economies;Sub-Saharan Africa;Adaptation Fund (AF);2012;2012;UNEP;5.1;1.31
44;rural livelihoods;agriculture;;;;;adaptation climate;agriculture  livelihoods rural;;;;food security;sustainable livelihoods;agriculture;;Climate Adaptation for Rural Livelihoods and Agriculture (CARLA) - 1248;Adaptation;Grant;Malawi;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNDP;3;3
55;rural areas;urban areas;;;; area rural urban;climate development gain local proofing; district machinga mangochi;;;;infrastructure;infrastructure;;;Climate Proofing Local Development Gains in Rural and Urban Areas of Machinga and Mangochi Districts - 1311;Adaptation;Grant;Malawi;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;5.32;0
139;enhancing adaptive capacities;rural communities;;;;development national plan;adaptation priorities urgent;;;;;education/capacity building;policy implementation;;;Implementing Urgent Adaptation Priorities Through Strengthened Decentralized and National Development Plans - 1335;Adaptation;Grant;Malawi;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;4.5;0
184;development planning;policy development;adaptation mainstreaming;;;action;adaptation national program;;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Program of Action - 1249;Adaptation;Grant;Malawi;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2003;;AfDB;0.2;0.2
256;Early Warning System;Climate resilience;;;; climate early inmation systems warning;climate development resilient support;;;;;early warning systems and disaster management;weather/climate information;early warning system;;Strengthening Climate Information and Early Warning Systems in Malawi to Support Climate Resilient Development - 1318;Adaptation;Grant;Malawi;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;4;0
145;tourism;;;;;change climate resilience;;sector  tourism;;;;tourism;sustainable tourism;;;Increasing Climate Change Resilience of Maldives through Adaptation in the Tourism Sector - 1298;Adaptation;Grant;Maldives;Upper-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2011;;UNDP;1.65;1.65
151;water management;;;;;climate resilience;;integrated management program resource water;;;;water resources;water management;;;Increasing climate resilience through an Integrated Water Resource Management Programme in HA. Ihavandhoo, ADh. Mahibadhoo and GDh. Gadhdhoo Island - 1637;Adaptation;Grant;Maldives;Upper-middle-income economies;Asia and Pacific;Adaptation Fund (AF);2011;2011;UNDP;8.99;5.37
158;adaptation planning;risk reduction;;;;change climate risk;isl planning resilient;;;;;early warning systems and disaster management;early warning system;disaster management;;Integrating Climate Change Risks into Resilient Island Planning - 1250;Adaptation;Grant;Maldives;Upper-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2009;;UNDP;4.25;4.25
179;development planning;policy development;adaptation mainstreaming;;;action;adaptation national plan;;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Plan of Action - 1251;Adaptation;Grant;Maldives;Upper-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
107;increase resilience of rural populations;agricultural production;food security;;;change climate;agriculture sector ;;adaptive  capacity resilience;;;education/capacity building;agriculture;food security;;Enhancing Adaptive Capacity and Resilience to Climate Change in the Agriculture Sector in Mali - 1252;Adaptation;Grant;Mali;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNDP;3;3
163;agricultural production;food security;;;;climate resilience;food security;agricultural production;area rural;;;food security;agriculture;;;Integrating Climate Resilience into Agricultural Production for Food Security in Rural Areas - 1253;Adaptation;Grant;Mali;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNDP;2.11;2.11
208;capacity building;policy development;;;;preparation;;adaptation ;action national plan;;;cross-sector ;policy development;mainstreaming;;Preparation of a National Action Plan for Adaptation in Mali - 1254;Adaptation;Grant;Mali;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;FAO;0.2;0.2
269;agriculture;land resources management;policy development;;;change climate;resilience;approach l management sustainable ;framework ;agricultural  integrated management pastoral;;terrestrial ecosystems;land management;;;Strengthening Resilience to Climate Change through Integrated Agricultural and Pastoral Management in the Sahelian zone in the Framework of the Sustainable Land Management Approach - 1336;Adaptation;Grant;Mali;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;FAO;2.17;0
276;enhancing adaptive capacities;;;;;resilience ;mali; communities group; women;;;education/capacity building;local capacity building;public awareness;;Strengthening the Resilience of Women Producer GroupÃ¢Â€Â™s and Vulnerable Communities in Mali - 1337;Adaptation;Grant;Mali;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;5.46;0
115;food security;community adaptation planning;enhancing adaptive capacities;;;change climate;food security;communities;;adverse effects ;;food security;capacity building;policy development;;Enhancing Resilience of Communities to the Adverse Effects of Climate Change on Food Security in Mauritania - 1652;Adaptation;Grant;Mauritania;Lower-middle-income economies;Sub-Saharan Africa;Adaptation Fund (AF);2012;;WFP;7.8;2.23
